,Date,Country,City,Specie,count,min,max,median,variance
110,03/01/2020,VN,Ho Chi Minh City,temperature,11,26.5,34.0,29.5,74.55
111,06/01/2020,VN,Ho Chi Minh City,temperature,24,23.0,33.5,28.0,136.07
112,19/01/2020,VN,Ho Chi Minh City,temperature,24,23.0,34.0,27.0,142.23
113,07/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,30.5,26.5,58.03
114,15/03/2020,VN,Ho Chi Minh City,temperature,24,26.5,37.0,29.0,117.75
115,16/06/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.5,27.0,80.54
116,19/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,28.0,34.89
117,31/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.5,29.0,83.91
118,06/08/2020,VN,Ho Chi Minh City,temperature,24,23.0,31.0,25.0,76.84
119,27/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,25.5,41.63
120,05/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,37.5,29.5,124.52
121,10/11/2020,VN,Ho Chi Minh City,temperature,24,24.5,29.0,26.0,12.45
122,18/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,31.5,28.0,64.23
123,30/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,29.0,88.46
124,10/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,27.0,74.56
125,29/01/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.0,26.5,89.71
126,02/02/2020,VN,Ho Chi Minh City,temperature,24,22.0,31.5,26.0,101.84
127,14/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,28.5,65.58
128,01/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.0,46.81
129,17/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,27.0,71.67
130,24/11/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.5,27.0,90.2
